path	label	speaker_id	gender	transcript_id	tts_system	feature_type	split
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00001.wav	real	p227	M	00001	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00002.wav	real	p227	M	00002	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00003.wav	real	p227	M	00003	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00004.wav	real	p227	M	00004	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00005.wav	real	p227	M	00005	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00006.wav	real	p227	M	00006	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00008.wav	real	p227	M	00008	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00009.wav	real	p227	M	00009	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00010.wav	real	p227	M	00010	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00011.wav	real	p227	M	00011	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00012.wav	real	p227	M	00012	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00013.wav	real	p227	M	00013	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00014.wav	real	p227	M	00014	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00015.wav	real	p227	M	00015	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00016.wav	real	p227	M	00016	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00018.wav	real	p227	M	00018	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00019.wav	real	p227	M	00019	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00020.wav	real	p227	M	00020	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00021.wav	real	p227	M	00021	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00022.wav	real	p227	M	00022	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00023.wav	real	p227	M	00023	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00024.wav	real	p227	M	00024	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00025.wav	real	p227	M	00025	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00026.wav	real	p227	M	00026	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00027.wav	real	p227	M	00027	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00028.wav	real	p227	M	00028	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00044.wav	real	p227	M	00044	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00049.wav	real	p227	M	00049	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00052.wav	real	p227	M	00052	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00058.wav	real	p227	M	00058	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00059.wav	real	p227	M	00059	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00060.wav	real	p227	M	00060	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00073.wav	real	p227	M	00073	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00083.wav	real	p227	M	00083	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00094.wav	real	p227	M	00094	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00095.wav	real	p227	M	00095	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00098.wav	real	p227	M	00098	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00099.wav	real	p227	M	00099	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00103.wav	real	p227	M	00103	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00104.wav	real	p227	M	00104	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00113.wav	real	p227	M	00113	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00125.wav	real	p227	M	00125	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00126.wav	real	p227	M	00126	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00127.wav	real	p227	M	00127	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00131.wav	real	p227	M	00131	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00138.wav	real	p227	M	00138	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00152.wav	real	p227	M	00152	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00153.wav	real	p227	M	00153	original	raw	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\raw\p227\00181.wav	real	p227	M	00181	original	raw	train
