path	label	speaker_id	gender	transcript_id	tts_system	feature_type	split
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00001.pt	real	p227	M	00001	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00002.pt	real	p227	M	00002	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00003.pt	real	p227	M	00003	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00004.pt	real	p227	M	00004	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00005.pt	real	p227	M	00005	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00006.pt	real	p227	M	00006	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00008.pt	real	p227	M	00008	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00009.pt	real	p227	M	00009	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00010.pt	real	p227	M	00010	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00011.pt	real	p227	M	00011	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00012.pt	real	p227	M	00012	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00013.pt	real	p227	M	00013	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00014.pt	real	p227	M	00014	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00015.pt	real	p227	M	00015	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00016.pt	real	p227	M	00016	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00018.pt	real	p227	M	00018	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00019.pt	real	p227	M	00019	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00020.pt	real	p227	M	00020	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00021.pt	real	p227	M	00021	original	wav2vec	train
C:\Users\Josh\Desktop\Code\FYP\voice_classifier\data\processed\real\vctk-corpus-wav16\wav2vec\p227\00022.pt	real	p227	M	00022	original	wav2vec	train
