ID,VITS_ID,Mean_Cosine_Similarity,Utterances_Compared
p225,p351,0.9179686,20
p226,p269,0.9124161,20
p227,p255,0.9283657,20
p228,p283,0.9154277,20
p229,p297,0.88664454,20
p230,p261,0.91605794,20
p231,p276,0.9037102,20
p232,p340,0.9159973,20
p233,p316,0.9304682,20
p234,p227,0.91593903,20
p236,p305,0.86222184,20
p237,p287,0.9481493,20
p238,p263,0.93015736,20
p239,p274,0.9140164,20
p240,p335,0.9213003,20
p241,p318,0.9318137,20
p243,p279,0.9299916,20
p244,p308,0.9317724,20
p245,p285,0.9545876,20
p246,p229,0.93093574,20
p247,p239,0.9342187,20
p248,p345,0.9022697,20
p249,p311,0.9320614,20
p250,p250,0.89111567,20
p251,p233,0.90477735,20
p252,p281,0.9244712,20
p253,p300,0.9304987,20
p254,p267,0.94266045,20
p255,p257,0.92680347,20
p256,p330,0.91816825,20
p257,p363,0.8849152,20
p258,p252,0.93425894,20
p259,p231,0.9381855,20
p260,p312,0.9001096,20
p261,p347,0.9076191,20
p262,p271,0.9072927,20
p263,p265,0.90326655,20
p264,p294,0.9043493,20
p265,p303,0.9444936,20
p266,p246,0.8901132,20
p267,ED,0.92503893,20
p268,p323,0.9221072,20
p269,p336,0.9193176,20
p270,p232,0.8973894,20
p271,p253,0.9293893,20
p272,p299,0.92574847,20
p273,p282,0.9221174,20
p274,p258,0.90157986,20
p275,p266,0.9104517,20
p276,p364,0.9275223,20
p277,p329,0.9374862,20
p278,p234,0.951074,20
p279,p251,0.91974896,20
p280,p278,0.8755239,20
p281,p262,0.89756614,20
p282,p314,0.9300575,20
p283,p339,0.91164064,20
p284,p241,0.92602414,20
p285,p226,0.9206441,20
p286,p292,0.93128556,20
p287,p307,0.91988385,20
p288,p273,0.9154083,20
p292,p238,0.92096967,20
p293,p249,0.9174458,20
p294,p362,0.9271428,20
p295,p334,0.9044305,20
p297,p268,0.9058196,20
p298,p298,0.9033555,20
p299,p284,0.9100315,20
p300,p360,0.92529595,20
p301,p333,0.91776955,20
p302,p256,0.9189836,20
p303,p270,0.93382835,20
p304,p302,0.9062375,20
p305,p280,0.9172331,20
p306,p237,0.91090614,20
p307,p248,0.9117325,20
p308,p374,0.9125641,20
p310,p243,0.92507726,20
p311,p228,0.9311243,20
p312,p288,0.90556955,20
p313,p306,0.91926366,20
p314,p277,0.89615107,20
p316,p317,0.92221737,20
p317,p341,0.91540384,20
p318,p245,0.92564976,20
p323,p260,0.88757265,20
p326,p254,0.92179614,20
p329,p361,0.928961,20
p330,p225,0.9300667,20
p333,p293,0.9246712,20
p334,p264,0.9189418,20
p335,p275,0.9059032,20
p336,p343,0.90845025,20
p339,p244,0.91337746,20
p340,p304,0.9089427,20
p341,p295,0.9326337,20
p343,p247,0.9154587,20
p345,p313,0.93100834,20
p347,p272,0.94627917,20
p351,p259,0.89984477,20
p360,p286,0.9260103,20
p361,p310,0.9092679,20
p362,p240,0.8876959,20
p363,p230,0.9270779,20
p364,p326,0.93154544,20
p374,p236,0.91227245,20
p376,,0.76882523,20
s5,,0.82725924,20
